COMUNE,Latitudine,Longitudine
Alto Reno Terme,44.127798392148,10.935857336393
Anzola dell'Emilia,44.5473518,11.1956296
Argelato,44.6425,11.3489259
Baricella,44.6476666,11.5356481
Bentivoglio,44.6356481,11.419074
Bologna,44.4941903,11.3465185
Borgo Tossignano,44.2776666,11.5912592
Budrio,44.5381481,11.5347037
Calderara di Reno,44.564074,11.2722037
Camugnano,44.1719868,11.0842818
Casalecchio di Reno,44.476574,11.2770555
Casalfiumanese,44.2978148,11.625
Castel d'Aiano,44.2768888,11.0004814
Castel del Rio,44.2159845,11.5037525
Castel di Casio,44.1639074,11.0368888
Castel Guelfo di Bologna,44.4317407,11.6789259
Castel Maggiore,44.5781481,11.3617222
Castel San Pietro Terme,44.399537,11.5859629
Castello d'Argile,44.68,11.2970555
Castenaso,44.509062,11.4691759
Castiglione dei Pepoli,44.1431236,11.1643061
Crevalcore,44.721574,11.1509629
Dozza,44.3595619,11.628897
Fontanelice,44.2600268,11.5597558
Gaggio Montano,44.1979814,10.9339074
Galliera,44.7506414,11.3914191
Granarolo dell'Emilia,44.5511313,11.4453727
Grizzana Morandi,44.2579001,11.1528093
Imola,44.3558937,11.7160903
Lizzano in Belvedere,44.1633355,10.8940171
Loiano,44.268554,11.322873
Malalbergo,44.7197037,11.5332962
Marzabotto,44.3418888,11.2057962
Medicina,44.4797037,11.6392407
Minerbio,44.624316,11.4898779
Molinella,44.6223703,11.6697037
Monghidoro,44.2275185,11.3286111
Monte San Pietro,44.4378426,11.1356101
Monterenzio,44.3277593,11.4059139
Monzuno,44.278433,11.267917
Mordano,44.3989074,11.8128148
Ozzano dell'Emilia,44.443585,11.470525
Pianoro,44.387309,11.34331
Pieve di Cento,44.7132962,11.3087777
Sala Bolognese,44.61708,11.2569959
San Benedetto Val di Sambro,44.2156778,11.2342897
San Giorgio di Piano,44.648122,11.376913
San Giovanni in Persiceto,44.6409444,11.1851666
San Lazzaro di Savena,44.469341,11.411438
San Pietro in Casale,44.7006481,11.4032962
Sant'Agata Bolognese,44.6651666,11.135
Sasso Marconi,44.4004814,11.2506481
Valsamoggia,44.5050195,11.0832631
Vergato,44.2828217,11.1115607
Zola Predosa,44.4906296,11.2193888
Argenta,44.6139161,11.8367898
Bondeno,44.888317,11.410612
Cento,44.7270555,11.2892222
Codigoro,44.8327962,12.1115321
Comacchio,44.6943132,12.1792126
Copparo,44.8939074,11.8259444
Ferrara,44.8378378,11.6203994
Fiscaglia,44.8003293,11.9739728
Goro,44.8518888,12.2959444
Jolanda di Savoia,44.8850185,11.9778148
Lagosanto,44.763195,12.144043
Masi Torello,44.794461,11.798975
Mesola,44.9217222,12.2303333
Ostellato,44.7467407,11.944537
Poggio Renatico,44.7652209,11.487318
Portomaggiore,44.6995555,11.8078148
Riva del Po,44.953915072712,11.916822518801
Terre del Reno,44.806814870494,11.404868578589
Tresignana,44.825617095367,11.882998922409
Vigarano Mainarda,44.8411111,11.4957962
Voghiera,44.756574,11.7528148
Bagno di Romagna,43.8336023,11.9599109
Bertinoro,44.1497037,12.1353333
Borghi,44.0321672,12.3564963
Castrocaro Terme e Terra del Sole,44.172161,11.9478983
Cesena,44.13876,12.2391244
Cesenatico,44.1989491,12.3953613
Civitella di Romagna,44.00719,11.941267
Dovadola,44.1237777,11.8898703
Forlì,44.221229,12.0426869
Forlimpopoli,44.1887697,12.1267519
Galeata,43.9989074,11.9142222
Gambettola,44.1178148,12.3395555
Gatteo,44.1113051,12.3861072
Longiano,44.0754814,12.3286111
Meldola,44.130134,12.0609569
Mercato Saraceno,43.9562546,12.1960756
Modigliana,44.1622037,11.794537
Montiano,44.0839074,12.3054814
Portico e San Benedetto,44.0265232,11.7815186
Predappio,44.106333,11.9816566
Premilcuore,43.9793111,11.7814761
Rocca San Casciano,44.0601666,11.8442407
Roncofreddo,44.042508,12.319214
San Mauro Pascoli,44.1048703,12.4164259
Santa Sofia,43.9467632,11.9095554
Sarsina,43.9194,12.14215
Savignano sul Rubicone,44.0893888,12.3951666
Sogliano al Rubicone,44.0056296,12.301574
Tredozio,44.0791615,11.7425495
Verghereto,43.7939074,12.0050185
Bastiglia,44.7279814,10.9997037
Bomporto,44.7307962,11.0395555
Campogalliano,44.690208,10.843799
Camposanto,44.788173,11.137617
Carpi,44.7830182,10.8850542
Castelfranco Emilia,44.5967222,11.0531481
Castelnuovo Rangone,44.5523703,10.9361111
Castelvetro di Modena,44.5067166,10.9475113
Cavezzo,44.8372528,11.0297088
Concordia sulla Secchia,44.9142407,10.9843888
Fanano,44.208409,10.7938259
Finale Emilia,44.8356481,11.2950185
Fiorano Modenese,44.5370555,10.8228148
Fiumalbo,44.1803333,10.6482962
Formigine,44.5771689,10.8487554
Frassinoro,44.296115,10.572542
Guiglia,44.425,10.9631296
Lama Mocogno,44.3082962,10.7317407
Maranello,44.5255526,10.866323
Marano sul Panaro,44.456884,10.969568
Medolla,44.8482948,11.0703889
Mirandola,44.8878333,11.0673703
Modena,44.6470972,10.9251918
Montecreto,44.247618,10.71692
Montefiorino,44.3514051,10.623122
Montese,44.2686906,10.9411481
Nonantola,44.6765996,11.0355515
Novi di Modena,44.8914074,10.9025185
Palagano,44.3220555,10.6472037
Pavullo nel Frignano,44.3325185,10.8361111
Pievepelago,44.2057962,10.6176666
Polinago,44.3457962,10.724537
Prignano sulla Secchia,44.4393888,10.6929814
Ravarino,44.7237363,11.0999624
Riolunato,44.2309625,10.6526745
San Cesario sul Panaro,44.562037,11.0342222
San Felice sul Panaro,44.8342407,11.1437777
San Possidonio,44.891671,10.9980119
San Prospero,44.7906296,11.0231296
Sassuolo,44.5440988,10.784893
Savignano sul Panaro,44.4814176,11.0362874
Serramazzoni,44.4261111,10.7875
Sestola,44.230587,10.77055
Soliera,44.7389074,10.9273518
Spilamberto,44.5353333,11.0206481
Vignola,44.4780684,11.0079756
Zocca,44.346718,10.9937759
Albareto,44.4475,9.7011111
Bardi,44.6339074,9.7312592
Bedonia,44.501892,9.633926
Berceto,44.510601,9.990058
Bore,44.7197037,9.7931296
Borgo Val di Taro,44.4882083,9.7668703
Busseto,44.981574,10.0431296
Calestano,44.6042407,10.124074
Collecchio,44.751809,10.216693
