Anno,ISTAT_COD,PROVINCIA,COMUNE,ISTAT_RER,ISTAT_PROV,ISTAT_COM,LATITUDE,LONGITUDE,Abitanti,PP,CS,altro,C,E,CdR,R.S.A.,COM.DOM.,COM.COM.,Macro,Rifiuto1,Rifiuto2,EER,TOTALE(Kg)
2022,08033001,PC,Agazzano,08,033,001,"44,96707","9,50203",1.995,109.810,,,,,,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Umido,Frazione organica umida domestica,200108,109.810
2022,08033001,PC,Agazzano,08,033,001,"44,96707","9,50203",1.995,,278.265,,,,3.040,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Verde,Scarti vegetali derivanti dalla manutenzione del verde,200201,281.305
2022,08033001,PC,Agazzano,08,033,001,"44,96707","9,50203",1.995,62.840,,,,,,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Carta e cartone,Carta e cartone,200101,62.840
2022,08033001,PC,Agazzano,08,033,001,"44,96707","9,50203",1.995,,,,,,24.632,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Carta e cartone,Imballaggi in carta e cartone,150101,24.632
2022,08033001,PC,Agazzano,08,033,001,"44,96707","9,50203",1.995,,62.593,,,,5.590,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Plastica,Imballaggi in plastica,150102,68.183
2022,08033001,PC,Agazzano,08,033,001,"44,96707","9,50203",1.995,,87.855,20.560,,,18.190,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Vetro,Imballaggi in vetro,150107,126.605
2022,08033001,PC,Agazzano,08,033,001,"44,96707","9,50203",1.995,,,,,,123,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Contenitori TFC,Imballaggi contenenti sostanze pericolose,150110,123
2022,08033001,PC,Agazzano,08,033,001,"44,96707","9,50203",1.995,,,,,,1.553,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Raee,RAEE pericolosi,200135,1.553
2022,08033001,PC,Agazzano,08,033,001,"44,96707","9,50203",1.995,,,,,,7.153,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Raee,RAEE non pericolosi,200136,7.153
2022,08033001,PC,Agazzano,08,033,001,"44,96707","9,50203",1.995,,,,,,60,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Raee,RAEE neon,200121,60
2022,08033001,PC,Agazzano,08,033,001,"44,96707","9,50203",1.995,,,,,,2.610,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Raee,RAEE con CFC,200123,2.610
2022,08033001,PC,Agazzano,08,033,001,"44,96707","9,50203",1.995,,,,,,310,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Oli e grassi commestibili,Oli e grassi commestibili,200125,310
2022,08033001,PC,Agazzano,08,033,001,"44,96707","9,50203",1.995,,,,,,500,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Oli e grassi minerali,Oli e grassi minerali,200126,500
2022,08033001,PC,Agazzano,08,033,001,"44,96707","9,50203",1.995,,,,,,1.229,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),"Vernici, inchiostri, adesivi e resine","Vernici, inchiostri, adesivi e resine pericolosi",200127,1.229
